trip_id,household_id,person_id,day_id,pernum,daynum,tripnum,travel_day,travel_date,travel_dow,day_iscomplete,svy_complete,depart_date,depart_dow,depart_time_hour,depart_time_minute,depart_time_second,arrive_date,arrive_dow,arrival_time_hour,arrival_time_minute,arrival_time_second,o_in_region,origin_rgcname,origin_county,origin_jurisdiction,origin_tract10,origin_tract20,d_in_region,dest_rgcname,dest_county,dest_jurisdiction,dest_tract10,dest_tract20,distance_meters,distance_miles,duration_minutes,duration_seconds,speed_mph,speed_flag,dwell_mins,days_first_trip,days_last_trip,origin_purpose_cat,origin_purpose,origin_name,dest_purpose_cat,dest_purpose,dest_purpose_other,dest_name,mode_class,mode_1,mode_2,mode_3,mode_4,mode_other_specify,mode_acc,mode_egr,travelers_total,travelers_hh,travelers_nonhh,hhmember1,hhmember2,hhmember3,hhmember4,hhmember5,hhmember6,hhmember7,hhmember8,hhmember9,hhmember10,hhmember11,hhmember12,driver,change_vehicles,taxi_cost_known,taxi_cost_int,analyst_split,analyst_merged,analyst_split_loop,copied_trip,user_split,user_merged,user_added,flag_teleport,trace_quality_flag,pt_density,point_dist_index,survey_year,hh_day_iscomplete,trip_weight,ObjectId,GlobalID
2300168201024,23001682,2300168201,230016820105,1,5,24,Yes,2023-05-06,Saturday,Yes,Complete,2023-05-06,Saturday,17,23,0,2023-05-06,Saturday,17,36,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Not RGC,King County,Seattle,,53033004901,517.99955328,0.32187,13,780,1.48555841710282,No,2.96666666666667,No,No,Home,Went home,,Shopping,Grocery shopping,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.58907672301691,7.2591541944669,2023,No,0,62002,9e33614c-fa05-420d-a571-b272d4037efa
2300168201025,23001682,2300168201,230016820105,1,5,25,Yes,2023-05-06,Saturday,Yes,Complete,2023-05-06,Saturday,17,39,0,2023-05-06,Saturday,17,44,0,Yes,Not RGC,King County,Seattle,,53033004901,Yes,Not RGC,King County,Seattle,,53033004902,441.999892224,0.274646,5,300,3.29576518306073,No,793.733333333333,No,Yes,Shopping,Went grocery shopping,,Home,Went home,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.46820809248555,22.0062084870569,2023,No,0,62005,f8970464-e644-444e-82fb-8516c75a0235
2300168201001,23001682,2300168201,230016820101,1,1,1,Yes,2023-05-02,Tuesday,Yes,Complete,2023-05-02,Tuesday,7,45,0,2023-05-02,Tuesday,8,15,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,4741.999688448,2.946542,30,1800,5.893084,No,0,Yes,No,Home,Went home,HOME,Work-related,Went to other work-related activity,,"Place near: 300 Boren Ave N, Seattle, WA 98109, United States",Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,No,0,62036,d24f80d7-050c-4c16-a365-2d67f48f5541
2300168201002,23001682,2300168201,230016820101,1,1,2,Yes,2023-05-02,Tuesday,Yes,Complete,2023-05-02,Tuesday,17,50,0,2023-05-02,Tuesday,18,45,0,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,Yes,Not RGC,King County,Seattle,,53033004902,5204.999910528,3.234237,55,3300,3.52826111146263,No,10.0166666666667,No,Yes,Work-related,Went to other work-related activity,,Home,Went home,,"Place near: 4113 Evanston Ave N, Seattle, WA 98103, United States",Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,No,0,62037,75fd88b1-6a7e-4938-80dc-6e018dae48cf
2300168201003,23001682,2300168201,230016820102,1,2,3,Yes,2023-05-03,Wednesday,Yes,Complete,2023-05-03,Wednesday,7,51,0,2023-05-03,Wednesday,8,18,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,5097.999456,3.16775,27,1620,7.03944444444444,No,0,Yes,No,Home,Went home,,Work,Went to primary workplace,,,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.80175658720201,8.94632088014258,2023,Yes,66.8571382656722,62038,70f1dcc7-5f87-4ecb-b6bd-5191cfdc790c
2300168201004,23001682,2300168201,230016820102,1,2,4,Yes,2023-05-03,Wednesday,Yes,Complete,2023-05-03,Wednesday,14,11,0,2023-05-03,Wednesday,14,33,0,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,Yes,Not RGC,King County,Seattle,,53033004901,5650.999022592,3.511368,22,1320,9.57647559359199,No,0,No,No,Work,Went to primary workplace,,Shopping,Grocery shopping,,,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Yes,No,No teleport detected,No,3.54790419161677,12.021174209671,2023,Yes,66.8571382656722,62039,9b085ba8-9f24-4018-877f-7712733a9858
2300168201005,23001682,2300168201,230016820102,1,2,5,Yes,2023-05-03,Wednesday,Yes,Complete,2023-05-03,Wednesday,14,36,0,2023-05-03,Wednesday,14,41,0,Yes,Not RGC,King County,Seattle,,53033004901,Yes,Not RGC,King County,Seattle,,53033004902,487.999771776,0.303229,5,300,3.63876255505022,No,1030.08333333333,No,Yes,Shopping,Went grocery shopping,,Home,Went home,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.06306306306306,26.7378299069258,2023,Yes,66.8571382656722,62040,350a65c7-7bfb-4823-bc4d-a7ba48c61020
2300168201008,23001682,2300168201,230016820103,1,3,8,Yes,2023-05-04,Thursday,Yes,Complete,2023-05-04,Thursday,8,38,0,2023-05-04,Thursday,8,48,0,Yes,Not RGC,King County,Seattle,,53033002800,Yes,Not RGC,King County,Seattle,,53033004902,3841.999805952,2.387308,10,600,14.3239052956212,No,292.666666666667,No,No,Meal,Went to restaurant to eat/get take-out,,Home,Went home,,,Drive SOV,Household vehicle 1,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Driver,Missing: Skip Logic,Missing Response,,No,No,No,No,Yes,Missing Response,No,No teleport detected,No,5.376,11.3363411116061,2023,No,0,62043,9ed4d1ef-127f-4b63-8fbf-171aa73c7bc8
2300168201009,23001682,2300168201,230016820103,1,3,9,Yes,2023-05-04,Thursday,Yes,Complete,2023-05-04,Thursday,13,41,0,2023-05-04,Thursday,13,54,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Seattle Northgate,King County,Seattle,,53033000602,7217.999572608,4.485057,13,780,20.7003267702362,No,68.7166666666667,No,No,Home,Went home,,Personal Business/Errand/Appointment,"Medical appointment (e.g., doctor, dentist)",,,Drive SOV,Household vehicle 1,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Driver,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.77952755905512,7.46690372236587,2023,No,0,62044,2a991bbd-0d99-42dd-9814-6e21cbddd74c
2300168201013,23001682,2300168201,230016820103,1,3,13,Yes,2023-05-04,Thursday,Yes,Complete,2023-05-04,Thursday,16,34,0,2023-05-04,Thursday,17,2,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Not RGC,King County,Seattle,,53033004000,8892.000577152,5.525233,28,1680,11.8398019140027,No,0,No,No,Home,Went home,,Social/Recreation,"Exercise or recreation (e.g., gym, jog, bike, walk dog)",,,Drive HOV2,Household vehicle 1,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,2 travelers,2 travelers,No other people,Selected,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,Yes,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,8.77759472817133,2.54428110039428,2023,No,0,62048,9ddde491-c9fd-43aa-a706-f3a261062b1e
