ID,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27
10350017,5,3,4,5,3,1,1,1,5,6,5,1,5,1,5,1,5,5,5,1,5,1,5,5,5,5,5
10350075,4,4,3,5,3,4,4,3,5,2,4,2,5,5,4,3,4,5,4,1,4,4,4,2,4,2,4
10350085,5,1,3,4,4,5,5,1,2,4,5,1,5,5,3,5,4,6,6,6,5,1,5,3,1,6,1
10350086,4,2,3,4,3,5,2,1,3,3,5,2,5,4,3,5,3,3,3,2,4,1,2,2,2,2,2
10350100,6,2,3,4,2,5,4,2,4,6,4,1,2,4,4,4,2,5,2,1,4,2,4,1,3,2,1
10350120,3,3,4,4,2,4,3,2,4,3,4,1,4,-1,3,4,2,4,4,2,4,4,2,3,3,4,4
10350125,4,2,6,4,2,4,2,2,4,6,4,2,4,4,4,4,2,3,2,2,4,4,4,2,1,1,1
10350133,5,2,3,4,3,5,5,3,3,3,4,2,5,2,3,3,3,3,4,3,4,3,5,3,3,3,3
10350197,3,2,2,5,1,4,5,1,4,6,4,5,5,4,5,4,6,6,6,6,4,2,6,1,5,1,1
10350199,2,3,2,4,6,4,4,1,3,5,5,1,5,3,3,3,5,4,6,6,6,2,4,2,2,6,6
10350271,4,1,1,1,1,2,4,2,4,2,4,1,5,2,4,2,4,4,2,6,6,2,4,1,4,6,5
10350272,6,6,6,6,6,6,6,3,3,6,6,2,3,3,3,3,6,6,6,6,4,3,6,6,4,6,6
10359998,6,6,6,3,6,5,5,6,6,6,6,3,4,3,4,3,6,3,6,6,5,3,5,1,5,6,6
10360009,5,4,5,4,2,5,5,3,2,2,4,2,5,3,3,4,4,4,3,6,4,2,1,3,4,3,2
10360011,5,2,2,5,2,5,5,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,4,2,1,2,4
10360013,5,2,4,4,2,5,4,2,3,5,5,1,5,4,4,5,5,5,1,1,3,2,4,2,5,1,1
10360014,5,2,4,4,2,5,4,2,3,5,5,1,5,4,4,3,3,3,1,1,3,2,4,2,5,1,1
10360016,5,2,6,3,1,5,5,1,3,6,5,1,5,4,4,4,5,5,2,6,2,2,3,1,6,6,6
10360023,4,2,2,4,3,5,4,2,4,3,4,3,5,3,3,2,3,5,3,3,4,4,5,2,2,3,3
10360024,4,1,3,3,4,2,5,1,5,2,4,2,5,2,2,2,4,1,5,3,4,1,5,2,1,4,4
10360035,4,4,1,4,6,5,4,2,4,6,4,3,4,2,2,2,6,5,6,6,4,2,4,2,4,6,6
10360095,4,2,2,5,2,5,4,2,4,6,4,1,5,4,4,2,4,4,2,1,4,2,4,2,5,2,2
10360113,6,6,2,4,3,4,4,2,3,4,4,2,4,2,3,4,4,4,6,6,4,2,6,6,2,6,6
10360122,6,6,4,2,2,5,2,2,4,4,5,1,5,4,4,4,4,4,2,6,5,3,4,1,2,1,2
10360139,5,4,1,3,1,5,4,1,3,4,5,1,5,4,4,4,5,5,3,6,2,2,5,1,1,1,6
10360159,4,3,2,5,1,5,5,3,3,5,5,1,4,4,3,4,6,5,2,6,5,3,4,3,1,6,4
10360162,6,6,6,6,6,4,4,6,5,6,4,3,4,5,1,1,6,4,4,1,5,5,6,1,6,6,5
10360177,5,5,1,5,1,5,5,1,5,4,5,2,5,3,3,4,5,5,1,1,4,2,5,2,2,1,1
10360193,5,6,5,4,6,4,5,3,4,4,5,1,5,3,3,4,5,1,4,6,6,2,5,6,5,6,5
10360195,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4
10360196,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4
10360202,2,3,4,4,2,4,4,2,4,5,5,1,4,4,2,4,4,4,2,4,4,4,2,1,5,1,3
10360205,4,-1,2,4,4,5,4,2,4,6,3,4,2,4,4,5,2,4,4,2,4,2,4,4,6,2,3
10360212,1,1,5,5,1,5,5,1,1,5,5,1,4,4,5,5,3,5,1,1,5,1,5,1,1,1,1
10360217,4,2,3,5,2,5,2,1,5,3,2,1,4,2,4,4,4,4,4,2,4,3,4,4,4,2,2
10360225,3,2,4,5,2,4,1,1,5,6,5,1,5,2,5,5,4,4,4,4,5,3,5,2,1,1,1
10360235,4,4,1,4,3,5,3,1,3,4,4,1,5,4,3,4,5,3,4,1,3,2,5,1,3,1,2
10360236,5,1,5,2,2,5,5,1,5,5,4,1,5,4,5,5,5,2,4,4,2,2,5,2,4,4,3
10360266,6,2,5,5,4,5,3,1,4,6,4,1,1,1,4,2,2,1,5,3,5,2,6,2,6,1,4
10360283,3,3,4,4,4,4,4,5,5,3,3,2,4,4,4,2,4,4,6,3,4,2,4,2,1,2,4
10360284,3,3,4,5,4,4,4,1,5,3,4,1,4,2,4,2,4,4,6,4,4,4,4,1,2,2,2
10360285,4,3,2,4,2,4,4,1,3,5,4,1,4,3,4,4,5,2,4,4,4,1,4,4,2,3,3
10360286,4,2,3,5,2,2,4,4,3,3,3,1,5,2,4,4,4,4,2,2,2,2,5,1,2,2,4
10360322,2,4,3,5,2,4,5,2,4,4,5,1,5,4,4,4,4,3,4,6,6,2,5,2,4,6,4
10360366,5,3,1,3,3,4,1,3,3,6,5,1,1,1,3,1,1,3,3,1,4,1,6,6,6,6,6
10360414,1,1,1,2,1,5,5,3,5,4,4,4,5,4,3,3,4,4,1,1,2,4,4,3,3,1,1
10360415,3,2,3,4,1,5,4,2,3,4,4,2,5,4,3,4,4,5,1,1,2,3,4,1,4,1,3
10360458,4,4,4,5,3,5,4,1,2,2,4,3,5,4,4,5,4,5,4,3,4,4,4,4,1,2,4
10360460,3,3,2,5,2,5,4,2,4,3,4,2,4,2,4,4,3,4,2,2,4,2,4,2,4,2,3
10360462,6,6,6,5,3,5,6,1,1,6,5,1,5,4,5,5,6,6,6,6,6,1,6,6,1,6,4
10360464,4,3,3,4,4,4,4,3,4,6,4,3,6,6,6,4,3,3,4,4,4,4,3,4,3,4,3
10360465,3,6,6,4,4,5,4,2,2,4,4,2,4,4,3,4,4,4,2,2,2,4,2,2,2,4,4
10360475,5,5,1,5,4,5,5,1,4,5,5,1,4,5,5,4,5,4,2,2,3,1,5,5,1,2,1
10360518,6,2,2,4,2,5,5,2,5,6,4,1,4,4,3,4,4,6,3,6,2,2,5,2,1,6,2
10360519,2,4,2,6,2,5,6,1,4,6,3,3,4,4,4,2,4,3,3,6,4,3,4,3,3,2,2
10360526,5,4,3,3,4,4,3,3,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4
10360527,3,6,3,4,2,5,3,3,4,4,4,1,5,5,3,4,4,5,2,6,4,4,4,4,2,6,6
10360532,2,4,1,5,3,5,5,1,6,3,3,2,4,3,4,3,5,3,3,1,4,1,4,3,3,1,1
10360533,6,1,6,5,2,5,5,1,1,2,4,1,5,4,5,3,2,1,2,6,5,3,5,2,1,2,4
10360536,4,2,4,5,2,4,4,4,4,6,5,4,5,5,4,4,4,4,2,1,2,4,4,1,2,2,4
10360564,6,6,6,4,3,4,4,1,4,4,4,1,4,3,4,3,5,5,2,1,5,3,6,3,5,2,2
10360566,5,4,3,5,2,5,5,3,2,4,4,2,5,4,4,4,4,3,3,1,3,2,4,6,1,2,3
10360574,4,4,3,5,6,5,2,3,2,6,4,1,5,2,3,2,5,5,2,2,3,2,4,2,1,4,3
10360575,4,4,3,5,3,5,5,4,2,5,5,1,5,2,4,4,5,5,3,4,4,1,4,4,1,4,4
10360624,5,3,4,5,2,5,3,3,4,6,2,1,6,6,6,3,6,2,5,5,5,3,3,5,4,3,5
10360626,3,4,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,3,4,4,2,2,4,3,2,2,2
10540009,4,6,6,5,6,4,4,1,3,6,2,3,1,2,3,2,6,4,5,3,1,2,2,6,6,1,3
