ID,age,Gender,NbCar,NbMoto,NbBicy,CarAvail,DestAct,Income,Education,distance_km,TimePT,TimeCar,CostPT,CostCarCHF,NbTransf,Choice
10350017,27,1,1,0,3,2,2,4,7,30.0,85,32,12.4,4.54,4,1
10350075,63,2,1,0,0,1,1,2,3,25.0,107,23,24.0,3.38,3,1
10350085,57,1,2,0,3,1,1,4,3,12.5,190,14,10.8,1.66,5,1
10350086,58,2,2,0,3,2,1,4,3,19.0,116,20,9.6,2.71,4,1
10350100,80,1,1,0,0,1,4,4,4,13.0,20,9,3.0,1.63,1,1
10350120,64,2,1,0,2,1,4,5,4,45.0,116,33,24.8,6.98,4,1
10350125,68,2,1,0,0,1,4,4,3,7.0,35,9,4.8,0.99,1,1
10350125,68,2,1,0,0,1,11,4,3,1.0,11,1,2.2,0.19,0,1
10350133,59,1,1,0,2,1,1,2,3,27.0,92,27,11.0,3.88,3,1
10350197,30,1,2,0,1,1,1,6,8,26.0,124,22,11.0,3.5,5,1
10350199,33,2,2,0,2,1,4,5,6,22.0,123,19,9.4,2.91,4,1
10350199,33,2,2,0,2,1,4,5,6,11.0,80,12,4.8,1.62,2,1
10350272,42,1,2,0,3,1,1,4,3,55.0,266,51,37.2,7.65,3,1
10350272,42,1,2,0,3,1,7,4,3,49.5,250,40,11.0,7.39,5,1
10360009,69,1,4,1,4,1,4,4,3,9.0,29,9,6.2,1.32,1,1
10360009,69,1,4,1,4,1,7,4,3,0.8,0,1,0.0,0.2,0,2
10360009,69,1,4,1,4,1,1,4,3,11.0,71,14,4.8,1.52,2,1
10360009,69,1,4,1,4,1,1,4,3,3.0,90,5,6.2,0.6,3,1
10360011,56,1,2,0,2,1,1,4,3,44.5,180,45,26.4,6.35,4,1
10360011,56,1,2,0,2,1,1,4,3,135.5,312,93,59.6,20.1,10,1
10360013,42,1,2,0,4,1,1,4,6,20.0,181,24,16.2,2.97,4,1
10360014,42,1,2,0,4,1,10,4,6,28.0,95,27,9.6,4.07,2,1
10360016,44,2,1,0,1,1,1,3,3,22.0,184,30,20.0,3.68,2,1
10360023,17,2,2,1,6,3,1,5,2,7.0,162,10,8.8,1.12,2,1
10360023,17,2,2,1,6,3,8,5,2,16.5,111,19,9.6,2.06,3,1
10360023,17,2,2,1,6,3,8,5,2,11.0,182,12,12.4,1.35,5,1
10360024,51,1,2,1,5,1,1,5,4,24.5,200,26,30.4,3.34,5,1
10360035,54,2,3,0,2,1,7,5,3,30.0,118,33,11.0,4.7,4,1
10360095,30,2,2,2,2,1,2,4,5,15.0,50,16,4.8,2.35,1,1
10360095,30,2,2,2,2,1,1,4,5,16.0,63,16,4.8,2.32,2,1
10360113,53,1,3,2,3,1,1,5,3,14.2,145,14,14.0,1.81,5,1
10360122,71,1,2,0,0,1,8,3,6,31.0,153,33,21.0,4.38,5,1
