ID,INFOR,CHOICE
10350017,"The trip distance is 30.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 85 minutes, and the travel cost is 0.0 CHF. 2. Driving: travel time is 32 minutes, and the travel cost is 4.54 CHF. 3. Soft modes are free of charge. Traveler is 27 year old male who work part time and has no children. The household owns 1 car, 0 motorcycle, 3 bicycles.",1
10350075,"The trip distance is 25.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 107 minutes, and the travel cost is 24.0 CHF. 2. Driving: travel time is 23 minutes, and the travel cost is 3.38 CHF. 3. Soft modes are free of charge. Traveler is 63 year old female who work part time and has no children. The household owns 1 car, 0 motorcycle, 0 bicycle.",1
10350085,"The trip distance is 12.5 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 190 minutes, and the travel cost is 10.8 CHF. 2. Driving: travel time is 14 minutes, and the travel cost is 1.66 CHF. 3. Soft modes are free of charge. Traveler is 57 year old male who work full time and has no children. The household owns 2 cars, 0 motorcycle, 3 bicycles.",1
10350086,"The trip distance is 19.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 116 minutes, and the travel cost is 9.6 CHF. 2. Driving: travel time is 20 minutes, and the travel cost is 2.71 CHF. 3. Soft modes are free of charge. Traveler is 58 year old female who work part time and has no children. The household owns 2 cars, 0 motorcycle, 3 bicycles.",1
10350100,"The trip distance is 13.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 20 minutes, and the travel cost is 2.2 CHF. 2. Driving: travel time is 9 minutes, and the travel cost is 1.63 CHF. 3. Soft modes are free of charge. Traveler is 80 year old male who work part time and has no children. The household owns 1 car, 0 motorcycle, 0 bicycle.",1
10350120,"The trip distance is 45.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 116 minutes, and the travel cost is 12.4 CHF. 2. Driving: travel time is 33 minutes, and the travel cost is 6.98 CHF. 3. Soft modes are free of charge. Traveler is 64 year old female who work part time and has no children. The household owns 1 car, 0 motorcycle, 2 bicycles.",1
10350133,"The trip distance is 27.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 92 minutes, and the travel cost is 11.0 CHF. 2. Driving: travel time is 27 minutes, and the travel cost is 3.88 CHF. 3. Soft modes are free of charge. Traveler is 59 year old male who work full time and has no children. The household owns 1 car, 0 motorcycle, 2 bicycles.",1
10350197,"The trip distance is 26.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 124 minutes, and the travel cost is 0.0 CHF. 2. Driving: travel time is 22 minutes, and the travel cost is 3.5 CHF. 3. Soft modes are free of charge. Traveler is 30 year old male who work full time and has no children. The household owns 2 cars, 0 motorcycle, 1 bicycle.",1
10350199,"The trip distance is 22.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 123 minutes, and the travel cost is 9.4 CHF. 2. Driving: travel time is 19 minutes, and the travel cost is 2.91 CHF. 3. Soft modes are free of charge. Traveler is 33 year old female who work part time and has no children. The household owns 2 cars, 0 motorcycle, 2 bicycles.",1
10350199,"The trip distance is 11.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 80 minutes, and the travel cost is 4.8 CHF. 2. Driving: travel time is 12 minutes, and the travel cost is 1.62 CHF. 3. Soft modes are free of charge. Traveler is 33 year old female who work part time and has no children. The household owns 2 cars, 0 motorcycle, 2 bicycles.",1
10350272,"The trip distance is 55.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 266 minutes, and the travel cost is 37.2 CHF. 2. Driving: travel time is 51 minutes, and the travel cost is 7.65 CHF. 3. Soft modes are free of charge. Traveler is 42 year old male who work full time and has 3 children. The household owns 2 cars, 0 motorcycle, 3 bicycles.",1
10350272,"The trip distance is 49.5 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 250 minutes, and the travel cost is 11.0 CHF. 2. Driving: travel time is 40 minutes, and the travel cost is 7.39 CHF. 3. Soft modes are free of charge. Traveler is 42 year old male who work full time and has 3 children. The household owns 2 cars, 0 motorcycle, 3 bicycles.",1
10359998,"The trip distance is 7.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 33 minutes, and the travel cost is 3.0 CHF. 2. Driving: travel time is 9 minutes, and the travel cost is 0.97 CHF. 3. Soft modes are free of charge. Traveler is 50 year old male who work full time and has no children. The household owns 2 cars, 0 motorcycle, 4 bicycles.",1
10360009,"The trip distance is 9.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 29 minutes, and the travel cost is 6.2 CHF. 2. Driving: travel time is 9 minutes, and the travel cost is 1.32 CHF. 3. Soft modes are free of charge. Traveler is 69 year old male who work part time and has 2 children. The household owns 4 cars, 1 motorcycle, 4 bicycles.",1
10360009,"The trip distance is 0.8 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 0 minutes, and the travel cost is 0.0 CHF. 2. Driving: travel time is 1 minutes, and the travel cost is 0.2 CHF. 3. Soft modes are free of charge. Traveler is 69 year old male who work part time and has 2 children. The household owns 4 cars, 1 motorcycle, 4 bicycles.",2
10360009,"The trip distance is 11.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 71 minutes, and the travel cost is 4.8 CHF. 2. Driving: travel time is 14 minutes, and the travel cost is 1.52 CHF. 3. Soft modes are free of charge. Traveler is 69 year old male who work part time and has 2 children. The household owns 4 cars, 1 motorcycle, 4 bicycles.",1
10360009,"The trip distance is 3.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 90 minutes, and the travel cost is 6.2 CHF. 2. Driving: travel time is 5 minutes, and the travel cost is 0.6 CHF. 3. Soft modes are free of charge. Traveler is 69 year old male who work part time and has 2 children. The household owns 4 cars, 1 motorcycle, 4 bicycles.",1
10360013,"The trip distance is 20.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 181 minutes, and the travel cost is 16.2 CHF. 2. Driving: travel time is 24 minutes, and the travel cost is 2.97 CHF. 3. Soft modes are free of charge. Traveler is 42 year old male who work full time and has 2 children. The household owns 2 cars, 0 motorcycle, 4 bicycles.",1
10360014,"The trip distance is 28.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 95 minutes, and the travel cost is 9.6 CHF. 2. Driving: travel time is 27 minutes, and the travel cost is 4.07 CHF. 3. Soft modes are free of charge. Traveler is 42 year old male who work full time and has no children. The household owns 2 cars, 0 motorcycle, 4 bicycles.",1
10360016,"The trip distance is 22.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 184 minutes, and the travel cost is 20.0 CHF. 2. Driving: travel time is 30 minutes, and the travel cost is 3.68 CHF. 3. Soft modes are free of charge. Traveler is 44 year old female who work full time and has no children. The household owns 1 car, 0 motorcycle, 1 bicycle.",1
10360023,"The trip distance is 7.0 km. There are three travel modes for the traveler to choose from: 1. Public transport: travel time is 162 minutes, and the travel cost is 0.0 CHF. 2. Driving: travel time is 10 minutes, and the travel cost is 1.12 CHF. 3. Soft modes are free of charge. Traveler is 17 year old female who work part time and has 3 children. The household owns 2 cars, 1 motorcycle, 6 bicycles.",1
