trip_id,household_id,person_id,day_id,pernum,daynum,tripnum,travel_day,travel_date,travel_dow,day_iscomplete,svy_complete,depart_date,depart_dow,depart_time_hour,depart_time_minute,depart_time_second,arrive_date,arrive_dow,arrival_time_hour,arrival_time_minute,arrival_time_second,o_in_region,origin_rgcname,origin_county,origin_jurisdiction,origin_tract10,origin_tract20,d_in_region,dest_rgcname,dest_county,dest_jurisdiction,dest_tract10,dest_tract20,distance_meters,distance_miles,duration_minutes,duration_seconds,speed_mph,speed_flag,dwell_mins,days_first_trip,days_last_trip,origin_purpose_cat,origin_purpose,origin_name,dest_purpose_cat,dest_purpose,dest_purpose_other,dest_name,mode_class,mode_1,mode_2,mode_3,mode_4,mode_other_specify,mode_acc,mode_egr,travelers_total,travelers_hh,travelers_nonhh,hhmember1,hhmember2,hhmember3,hhmember4,hhmember5,hhmember6,hhmember7,hhmember8,hhmember9,hhmember10,hhmember11,hhmember12,driver,change_vehicles,taxi_cost_known,taxi_cost_int,analyst_split,analyst_merged,analyst_split_loop,copied_trip,user_split,user_merged,user_added,flag_teleport,trace_quality_flag,pt_density,point_dist_index,survey_year,hh_day_iscomplete,trip_weight,ObjectId,GlobalID
2300082801001,23000828,2300082801,230008280101,1,1,1,Yes,2023-05-17,Wednesday,Yes,Complete,2023-05-17,Wednesday,14,15,0,2023-05-17,Wednesday,14,45,0,Yes,Not RGC,King County,Seattle,,53033007700,Yes,Seattle University Community,King County,Seattle,,53033005202,5013.99974592,3.115555,30,1800,6.23111,No,0,Yes,No,Home,Went home,HOME,Personal Business/Errand/Appointment,"Personal business (e.g., bank, post office)",,4347 Roosevelt way,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,Yes,49.3171357824137,61986,d1c6eeda-d0ac-40cd-a058-068f0179af00
2300082801002,23000828,2300082801,230008280101,1,1,2,Yes,2023-05-17,Wednesday,Yes,Complete,2023-05-17,Wednesday,15,45,0,2023-05-17,Wednesday,16,5,0,Yes,Seattle University Community,King County,Seattle,,53033005202,Yes,Not RGC,King County,Seattle,,53033007700,4948.00054848,3.074545,20,1200,9.22364422364422,No,0,No,Yes,Personal Business/Errand/Appointment,"Conducted personal business (e.g., bank, post office)",4347 Roosevelt way,Home,Went home,,Home,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,Yes,49.3171357824137,61988,d902be4b-9928-4546-be12-e1f2d510a9e8
2300082802001,23000828,2300082802,230008280201,2,1,1,Yes,2023-05-17,Wednesday,Yes,Complete,2023-05-17,Wednesday,6,50,0,2023-05-17,Wednesday,7,15,0,Yes,Not RGC,King County,Seattle,,53033007700,Yes,Seattle University Community,King County,Seattle,,53033005303,3324.000252672,2.065438,25,1500,4.95705913129461,No,0,Yes,No,Home,Went home,HOME,Work,Went to primary workplace,,Joel Work,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,Yes,36.694297457153,61992,bd957614-aa19-4a7a-a668-24a90d2a7d19
2300082802002,23000828,2300082802,230008280201,2,1,2,Yes,2023-05-17,Wednesday,Yes,Complete,2023-05-17,Wednesday,16,15,0,2023-05-17,Wednesday,16,35,0,Yes,Seattle University Community,King County,Seattle,,53033005303,Yes,Not RGC,King County,Seattle,,53033007700,3346.999387776,2.079729,20,1200,6.23919323919324,No,0,No,Yes,Work,Went to primary workplace,Joel Work,Home,Went home,,Home,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,Yes,36.694297457153,61993,49c268c9-5830-451e-9e47-4d0e3f0ed8e5
2300168201024,23001682,2300168201,230016820105,1,5,24,Yes,2023-05-06,Saturday,Yes,Complete,2023-05-06,Saturday,17,23,0,2023-05-06,Saturday,17,36,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Not RGC,King County,Seattle,,53033004901,517.99955328,0.32187,13,780,1.48555841710282,No,2.96666666666667,No,No,Home,Went home,,Shopping,Grocery shopping,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.58907672301691,7.2591541944669,2023,No,0,62002,9e33614c-fa05-420d-a571-b272d4037efa
2300168201025,23001682,2300168201,230016820105,1,5,25,Yes,2023-05-06,Saturday,Yes,Complete,2023-05-06,Saturday,17,39,0,2023-05-06,Saturday,17,44,0,Yes,Not RGC,King County,Seattle,,53033004901,Yes,Not RGC,King County,Seattle,,53033004902,441.999892224,0.274646,5,300,3.29576518306073,No,793.733333333333,No,Yes,Shopping,Went grocery shopping,,Home,Went home,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.46820809248555,22.0062084870569,2023,No,0,62005,f8970464-e644-444e-82fb-8516c75a0235
2300168201001,23001682,2300168201,230016820101,1,1,1,Yes,2023-05-02,Tuesday,Yes,Complete,2023-05-02,Tuesday,7,45,0,2023-05-02,Tuesday,8,15,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,4741.999688448,2.946542,30,1800,5.893084,No,0,Yes,No,Home,Went home,HOME,Work-related,Went to other work-related activity,,"Place near: 300 Boren Ave N, Seattle, WA 98109, United States",Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,No,0,62036,d24f80d7-050c-4c16-a365-2d67f48f5541
2300168201002,23001682,2300168201,230016820101,1,1,2,Yes,2023-05-02,Tuesday,Yes,Complete,2023-05-02,Tuesday,17,50,0,2023-05-02,Tuesday,18,45,0,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,Yes,Not RGC,King County,Seattle,,53033004902,5204.999910528,3.234237,55,3300,3.52826111146263,No,10.0166666666667,No,Yes,Work-related,Went to other work-related activity,,Home,Went home,,"Place near: 4113 Evanston Ave N, Seattle, WA 98103, United States",Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Missing Response,Yes,No teleport detected,No,,,2023,No,0,62037,75fd88b1-6a7e-4938-80dc-6e018dae48cf
2300168201003,23001682,2300168201,230016820102,1,2,3,Yes,2023-05-03,Wednesday,Yes,Complete,2023-05-03,Wednesday,7,51,0,2023-05-03,Wednesday,8,18,0,Yes,Not RGC,King County,Seattle,,53033004902,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,5097.999456,3.16775,27,1620,7.03944444444444,No,0,Yes,No,Home,Went home,,Work,Went to primary workplace,,,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,3.80175658720201,8.94632088014258,2023,Yes,66.8571382656722,62038,70f1dcc7-5f87-4ecb-b6bd-5191cfdc790c
2300168201004,23001682,2300168201,230016820102,1,2,4,Yes,2023-05-03,Wednesday,Yes,Complete,2023-05-03,Wednesday,14,11,0,2023-05-03,Wednesday,14,33,0,Yes,Seattle South Lake Union,King County,Seattle,,53033007303,Yes,Not RGC,King County,Seattle,,53033004901,5650.999022592,3.511368,22,1320,9.57647559359199,No,0,No,No,Work,Went to primary workplace,,Shopping,Grocery shopping,,,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,1 traveler,1 traveler,No other people,Selected,Not Selected,Not Selected,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Missing Response,Yes,No,No teleport detected,No,3.54790419161677,12.021174209671,2023,Yes,66.8571382656722,62039,9b085ba8-9f24-4018-877f-7712733a9858
