household_id,hhincome_broad,vehicle_count
23003118,"$25,000-$49,999",1 vehicle
23007814,"$75,000-$99,999",2 vehicles
23007848,"$200,000 or more",1 vehicle
23008213,"$100,000-$199,999",2 vehicles
23008281,"$100,000-$199,999",1 vehicle
23008718,"$50,000-$74,999",1 vehicle
23008726,"$75,000-$99,999",1 vehicle
23013119,"$200,000 or more",1 vehicle
23021997,"$100,000-$199,999",3 vehicles
23023031,"$200,000 or more",1 vehicle
23023534,"$100,000-$199,999",0 (no vehicles)
23023571,"$50,000-$74,999",2 vehicles
23023627,"$100,000-$199,999",1 vehicle
23024392,"$50,000-$74,999",0 (no vehicles)
23024431,"$200,000 or more",2 vehicles
23024687,"$200,000 or more",1 vehicle
23003815,"$100,000-$199,999",2 vehicles
23017142,"$100,000-$199,999",1 vehicle
23013307,"$25,000-$49,999",1 vehicle
23017257,"$100,000-$199,999",2 vehicles
23010233,"Under $25,000",3 vehicles
23004329,"$200,000 or more",1 vehicle
23025844,"$100,000-$199,999",1 vehicle
23017346,"$200,000 or more",2 vehicles
23000828,"$200,000 or more",1 vehicle
23017356,"$100,000-$199,999",1 vehicle
23010371,"$75,000-$99,999",1 vehicle
23010421,"$100,000-$199,999",2 vehicles
23010629,"$100,000-$199,999",1 vehicle
23026247,"$200,000 or more",1 vehicle
23005595,"$75,000-$99,999",0 (no vehicles)
23001682,"$200,000 or more",1 vehicle
23001690,"$50,000-$74,999",2 vehicles
23018491,"$200,000 or more",1 vehicle
23026929,"$100,000-$199,999",1 vehicle
23027355,"$50,000-$74,999",0 (no vehicles)
23015304,"$50,000-$74,999",0 (no vehicles)
23015321,"$100,000-$199,999",3 vehicles
23027564,"$100,000-$199,999",1 vehicle
23005895,"$200,000 or more",1 vehicle
23005950,"$50,000-$74,999",0 (no vehicles)
23027776,"$50,000-$74,999",1 vehicle
23012007,"$200,000 or more",1 vehicle
23016190,"$100,000-$199,999",1 vehicle
23006400,"$100,000-$199,999",1 vehicle
23016261,"$50,000-$74,999",0 (no vehicles)
23028096,"$75,000-$99,999",2 vehicles
23019455,"$100,000-$199,999",2 vehicles
23028288,"$100,000-$199,999",1 vehicle
23028315,"$50,000-$74,999",1 vehicle
23012571,"$200,000 or more",1 vehicle
23020190,"$25,000-$49,999",1 vehicle
23013041,"$200,000 or more",1 vehicle
23051670,"$100,000-$199,999",1 vehicle
23052371,"$100,000-$199,999",2 vehicles
23052931,"$100,000-$199,999",1 vehicle
23053067,"$200,000 or more",1 vehicle
23053341,"$200,000 or more",0 (no vehicles)
23053445,"$50,000-$74,999",1 vehicle
23054129,"$100,000-$199,999",1 vehicle
23054467,"$100,000-$199,999",2 vehicles
23054633,"$200,000 or more",1 vehicle
23041944,"$100,000-$199,999",2 vehicles
23041960,"$50,000-$74,999",0 (no vehicles)
23042140,"$25,000-$49,999",1 vehicle
23042288,"$100,000-$199,999",0 (no vehicles)
23042790,"$200,000 or more",1 vehicle
23042804,"Under $25,000",0 (no vehicles)
23043084,"Under $25,000",1 vehicle
23043225,"$25,000-$49,999",2 vehicles
23043276,"$200,000 or more",1 vehicle
23048383,"$75,000-$99,999",1 vehicle
23048976,"$50,000-$74,999",0 (no vehicles)
23049135,"$200,000 or more",1 vehicle
23050483,"$25,000-$49,999",1 vehicle
23030147,"$100,000-$199,999",2 vehicles
23030178,"$200,000 or more",2 vehicles
23030930,"$200,000 or more",3 vehicles
23031052,"$50,000-$74,999",1 vehicle
23031117,"$75,000-$99,999",3 vehicles
23031966,"$200,000 or more",2 vehicles
23032100,"$50,000-$74,999",1 vehicle
23033135,"$200,000 or more",2 vehicles
23033218,"$100,000-$199,999",2 vehicles
23043755,"$50,000-$74,999",1 vehicle
23034334,"$200,000 or more",1 vehicle
23044001,"$25,000-$49,999",1 vehicle
23034481,"$100,000-$199,999",0 (no vehicles)
23044172,"$50,000-$74,999",1 vehicle
23044545,"$50,000-$74,999",1 vehicle
23045531,"$100,000-$199,999",1 vehicle
23045901,"$50,000-$74,999",0 (no vehicles)
23047378,"$200,000 or more",1 vehicle
23056824,"$50,000-$74,999",0 (no vehicles)
23034723,"$100,000-$199,999",1 vehicle
23038450,"$200,000 or more",2 vehicles
23057289,"$200,000 or more",2 vehicles
23057777,"$100,000-$199,999",2 vehicles
23039101,"$200,000 or more",1 vehicle
23036633,"$100,000-$199,999",1 vehicle
23036874,"$100,000-$199,999",3 vehicles
23058813,"$100,000-$199,999",2 vehicles
23036894,"$100,000-$199,999",1 vehicle
23040089,"$100,000-$199,999",3 vehicles
23059118,"$25,000-$49,999",1 vehicle
23059239,"$50,000-$74,999",1 vehicle
23076280,"$200,000 or more",2 vehicles
23076874,"$50,000-$74,999",0 (no vehicles)
23077549,"$25,000-$49,999",0 (no vehicles)
23077869,"$75,000-$99,999",2 vehicles
23077921,"$50,000-$74,999",2 vehicles
23078283,"$100,000-$199,999",2 vehicles
23079028,"$25,000-$49,999",1 vehicle
23079162,"Under $25,000",1 vehicle
23079597,"$100,000-$199,999",1 vehicle
23079943,"$100,000-$199,999",0 (no vehicles)
23080371,"$25,000-$49,999",1 vehicle
23081346,"$50,000-$74,999",0 (no vehicles)
23082345,"Under $25,000",0 (no vehicles)
23082757,"$25,000-$49,999",2 vehicles
23082922,"Under $25,000",0 (no vehicles)
23083468,"$100,000-$199,999",1 vehicle
23069057,"$75,000-$99,999",0 (no vehicles)
23069060,"$200,000 or more",1 vehicle
23089946,"$50,000-$74,999",0 (no vehicles)
23072827,"Under $25,000",0 (no vehicles)
23089967,"$200,000 or more",0 (no vehicles)
23064164,"Under $25,000",1 vehicle
23059620,"$25,000-$49,999",1 vehicle
23086158,"$100,000-$199,999",2 vehicles
23090697,"$100,000-$199,999",1 vehicle
23090734,"$100,000-$199,999",1 vehicle
23069862,"$100,000-$199,999",0 (no vehicles)
23069888,"Under $25,000",1 vehicle
23090779,"$75,000-$99,999",0 (no vehicles)
23073163,"Under $25,000",0 (no vehicles)
23090890,"Under $25,000",1 vehicle
23073304,"$100,000-$199,999",3 vehicles
23091018,"$200,000 or more",1 vehicle
23060429,"$200,000 or more",3 vehicles
23070319,"$25,000-$49,999",0 (no vehicles)
23073653,"$25,000-$49,999",0 (no vehicles)
23070385,"$50,000-$74,999",0 (no vehicles)
23087048,"$200,000 or more",1 vehicle
23091281,"$100,000-$199,999",1 vehicle
23073814,"$100,000-$199,999",1 vehicle
23060823,"$25,000-$49,999",0 (no vehicles)
23091418,"$25,000-$49,999",1 vehicle
23087068,"$100,000-$199,999",0 (no vehicles)
23060941,"$200,000 or more",2 vehicles
23061063,"$75,000-$99,999",0 (no vehicles)
23074536,"$25,000-$49,999",0 (no vehicles)
23087379,"Under $25,000",1 vehicle
23091986,"Under $25,000",0 (no vehicles)
23087615,"$100,000-$199,999",0 (no vehicles)
23092100,"$200,000 or more",0 (no vehicles)
23087662,"$100,000-$199,999",1 vehicle
23092143,"$100,000-$199,999",1 vehicle
23067071,"$200,000 or more",1 vehicle
23067082,"$25,000-$49,999",0 (no vehicles)
23087892,"$100,000-$199,999",3 vehicles
23088138,"$200,000 or more",1 vehicle
23062726,"$75,000-$99,999",1 vehicle
23088732,"$50,000-$74,999",1 vehicle
23075213,"$75,000-$99,999",0 (no vehicles)
23071945,"$50,000-$74,999",0 (no vehicles)
23068005,"Under $25,000",0 (no vehicles)
23072026,"$75,000-$99,999",1 vehicle
23068152,"$75,000-$99,999",0 (no vehicles)
23063329,"Under $25,000",0 (no vehicles)
23068165,"$25,000-$49,999",0 (no vehicles)
23075813,"$200,000 or more",2 vehicles
23072538,"$75,000-$99,999",0 (no vehicles)
23063662,"$50,000-$74,999",0 (no vehicles)
23068588,"$75,000-$99,999",1 vehicle
23072672,"$50,000-$74,999",1 vehicle
23099899,"$200,000 or more",1 vehicle
23100233,"$75,000-$99,999",1 vehicle
23100406,"$50,000-$74,999",0 (no vehicles)
