household_id,person_id,age,gender,education
23000828,2300082801,55-64 years,Female,Graduate/post-graduate degree
23000828,2300082802,55-64 years,Male,Bachelor degree
23013041,2301304101,55-64 years,Female,Graduate/post-graduate degree
23013041,2301304102,55-64 years,Male,Graduate/post-graduate degree
23013119,2301311901,45-54 years,Male,Bachelor degree
23013119,2301311902,45-54 years,Female,Graduate/post-graduate degree
23013307,2301330701,65-74 years,Male,Bachelor degree
23007814,2300781401,35-44 years,Male,High school graduate
23007814,2300781402,35-44 years,Female,High school graduate
23007848,2300784801,25-34 years,Female,Bachelor degree
23008213,2300821301,45-54 years,Female,Graduate/post-graduate degree
23008213,2300821302,35-44 years,Male,Graduate/post-graduate degree
23008281,2300828101,55-64 years,Female,Some college
23006400,2300640001,55-64 years,Female,Graduate/post-graduate degree
23003118,2300311801,25-34 years,Female,Some college
23003815,2300381501,55-64 years,Female,Graduate/post-graduate degree
23003815,2300381502,45-54 years,Male,Bachelor degree
23004329,2300432901,35-44 years,Female,Graduate/post-graduate degree
23004329,2300432902,35-44 years,Non-binary,Bachelor degree
23006400,2300640002,65-74 years,Male,Bachelor degree
23001682,2300168201,45-54 years,Male,Bachelor degree
23001682,2300168202,45-54 years,Female,Bachelor degree
23001690,2300169001,65-74 years,Female,Bachelor degree
23008718,2300871801,25-34 years,Female,Graduate/post-graduate degree
23008726,2300872601,35-44 years,Male,Graduate/post-graduate degree
23005595,2300559501,35-44 years,Male,Bachelor degree
23010233,2301023301,55-64 years,Male,Associates degree
23010371,2301037101,75 years or older,Female,Graduate/post-graduate degree
23010421,2301042101,65-74 years,Male,Graduate/post-graduate degree
23010421,2301042102,65-74 years,Female,Graduate/post-graduate degree
23012007,2301200701,55-64 years,Male,Graduate/post-graduate degree
23010629,2301062901,25-34 years,Female,Graduate/post-graduate degree
23012007,2301200702,55-64 years,Female,Graduate/post-graduate degree
23005895,2300589501,25-34 years,Female,Bachelor degree
23012571,2301257101,35-44 years,Female,Graduate/post-graduate degree
23012571,2301257102,35-44 years,Male,Bachelor degree
23017142,2301714201,45-54 years,Female,Bachelor degree
23017142,2301714202,55-64 years,Male,High school graduate
23017257,2301725701,55-64 years,Female,Graduate/post-graduate degree
23017257,2301725702,55-64 years,Male,Graduate/post-graduate degree
23017346,2301734601,35-44 years,Male,Bachelor degree
23017346,2301734603,35-44 years,Female,Graduate/post-graduate degree
23017356,2301735601,35-44 years,Male,Graduate/post-graduate degree
23017356,2301735602,25-34 years,Female,Graduate/post-graduate degree
23019455,2301945501,25-34 years,Female,Graduate/post-graduate degree
