household_id,person_id,age,gender,education,hhincome_broad,vehicle_count
23000828,2300082801,55-64 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23000828,2300082802,55-64 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23013041,2301304101,55-64 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23013041,2301304102,55-64 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23013119,2301311901,45-54 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23013119,2301311902,45-54 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23013307,2301330701,65-74 years,Male,Bachelor degree,"$25,000-$49,999",1 vehicle
23007814,2300781401,35-44 years,Male,High school graduate,"$75,000-$99,999",2 vehicles
23007814,2300781402,35-44 years,Female,High school graduate,"$75,000-$99,999",2 vehicles
23007848,2300784801,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23008213,2300821301,45-54 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23008213,2300821302,35-44 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23008281,2300828101,55-64 years,Female,Some college,"$100,000-$199,999",1 vehicle
23006400,2300640001,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23003118,2300311801,25-34 years,Female,Some college,"$25,000-$49,999",1 vehicle
23003815,2300381501,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23003815,2300381502,45-54 years,Male,Bachelor degree,"$100,000-$199,999",2 vehicles
23004329,2300432901,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23004329,2300432902,35-44 years,Non-binary,Bachelor degree,"$200,000 or more",1 vehicle
23006400,2300640002,65-74 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23001682,2300168201,45-54 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23001682,2300168202,45-54 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23001690,2300169001,65-74 years,Female,Bachelor degree,"$50,000-$74,999",2 vehicles
23008718,2300871801,25-34 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",1 vehicle
23008726,2300872601,35-44 years,Male,Graduate/post-graduate degree,"$75,000-$99,999",1 vehicle
23005595,2300559501,35-44 years,Male,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23010233,2301023301,55-64 years,Male,Associates degree,"Under $25,000",3 vehicles
