household_id,person_id,age,gender,education,hhincome_broad,vehicle_count,trip_id,mode_class,distance_miles,depart_time_hour,depart_time_minute,depart_time_second,dest_purpose_cat
23000828,2300082801,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2300082801001,Transit,3.115555,14,15,0,Business/Errand
23000828,2300082801,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2300082801002,Transit,3.074545,15,45,0,Home
23000828,2300082802,55-64 years,Male,a Bachelor degree,"$200,000 or more",1 vehicle,2300082802001,Transit,2.065438,6,50,0,Work
23000828,2300082802,55-64 years,Male,a Bachelor degree,"$200,000 or more",1 vehicle,2300082802002,Transit,2.079729,16,15,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101003,Transit,2.17045,16,48,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101004,Walk,0.736946,19,7,0,Social/Recreation
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101005,Walk,0.736946,19,22,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101007,Walk,0.363502,15,48,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101008,Walk,0.737568,19,24,0,Social/Recreation
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101009,Walk,0.737568,19,37,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101010,Walk,0.395813,17,23,0,Shopping
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101011,Walk,0.400163,17,43,0,Home
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101018,Walk,0.124274,14,20,0,Social/Recreation
23013041,2301304101,55-64 years,Female,a Graduate degree,"$200,000 or more",1 vehicle,2301304101019,Walk,0.109361,14,36,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102003,Walk,0.723897,16,24,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102004,Walk,0.819589,17,16,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102005,Walk,2.90926,17,34,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102011,Walk,0.736946,19,7,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102012,Walk,0.736946,19,22,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102013,Walk,0.62075,15,38,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102014,Walk,0.60708,15,59,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102015,Walk,0.731975,19,24,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102016,Walk,0.71147,19,38,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102019,Drive,3.344841,12,13,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102022,Drive,3.323715,13,1,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102025,Drive,3.37156,10,32,0,Meal
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102026,Drive,3.385852,10,44,0,Home
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102028,Walk,0.439309,14,50,0,Social/Recreation
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102034,Drive,0.526923,15,43,0,Escort
23013041,2301304102,55-64 years,Male,a Graduate degree,"$200,000 or more",1 vehicle,2301304102035,Drive,0.336162,15,59,0,Home
23013119,2301311901,45-54 years,Male,a Bachelor degree,"$200,000 or more",1 vehicle,2301311901001,Drive,4.5994,8,0,0,Work
