Variable,Value,Frequency/Mean,Percentage/SD
household_id_person,23220745,82,2.34%
household_id_person,23107439,66,1.89%
household_id_person,23215575,48,1.37%
household_id_person,23072538,45,1.29%
household_id_person,23165095,45,1.29%
household_id_person,23036633,44,1.26%
household_id_person,23109643,39,1.11%
household_id_person,23216854,39,1.11%
household_id_person,23132795,38,1.09%
household_id_person,23177095,38,1.09%
household_id_person,23031117,37,1.06%
household_id_person,23101273,37,1.06%
household_id_person,23136722,36,1.03%
household_id_person,23045531,34,0.97%
household_id_person,23092634,34,0.97%
household_id_person,23010629,33,0.94%
household_id_person,23170689,32,0.91%
household_id_person,23160732,32,0.91%
household_id_person,23222034,30,0.86%
household_id_person,23198315,30,0.86%
household_id_person,23204978,29,0.83%
household_id_person,23051670,29,0.83%
household_id_person,23075813,29,0.83%
household_id_person,23074536,28,0.8%
household_id_person,23042140,28,0.8%
household_id_person,23190613,28,0.8%
household_id_person,23005895,27,0.77%
household_id_person,23176262,27,0.77%
household_id_person,23167215,26,0.74%
household_id_person,23043225,26,0.74%
household_id_person,23133248,26,0.74%
household_id_person,23088138,26,0.74%
household_id_person,23013041,26,0.74%
household_id_person,23135375,25,0.71%
household_id_person,23197948,24,0.69%
household_id_person,23158323,24,0.69%
household_id_person,23075213,24,0.69%
household_id_person,23001682,24,0.69%
household_id_person,23181798,24,0.69%
household_id_person,23222116,23,0.66%
household_id_person,23032100,23,0.66%
household_id_person,23088732,23,0.66%
household_id_person,23215952,23,0.66%
household_id_person,23136512,22,0.63%
household_id_person,23021997,22,0.63%
household_id_person,23222358,21,0.6%
household_id_person,23137450,21,0.6%
household_id_person,23104944,20,0.57%
household_id_person,23208062,20,0.57%
household_id_person,23215872,20,0.57%
household_id_person,23067082,19,0.54%
household_id_person,23094647,19,0.54%
household_id_person,23184551,18,0.51%
household_id_person,23181306,18,0.51%
household_id_person,23108718,18,0.51%
household_id_person,23279180,18,0.51%
household_id_person,23056824,17,0.49%
household_id_person,23053341,17,0.49%
household_id_person,23053067,16,0.46%
household_id_person,23151628,16,0.46%
household_id_person,23092721,16,0.46%
household_id_person,23141879,16,0.46%
household_id_person,23112731,16,0.46%
household_id_person,23223047,15,0.43%
household_id_person,23222808,15,0.43%
household_id_person,23113955,15,0.43%
household_id_person,23069862,15,0.43%
household_id_person,23182415,15,0.43%
household_id_person,23132327,14,0.4%
household_id_person,23096577,14,0.4%
household_id_person,23140178,14,0.4%
household_id_person,23198126,14,0.4%
household_id_person,23023031,13,0.37%
household_id_person,23091281,12,0.34%
household_id_person,23063662,12,0.34%
household_id_person,23200559,12,0.34%
household_id_person,23184022,12,0.34%
household_id_person,23199929,12,0.34%
household_id_person,23135578,12,0.34%
household_id_person,23068165,12,0.34%
household_id_person,23044545,12,0.34%
household_id_person,23189706,12,0.34%
household_id_person,23033135,12,0.34%
household_id_person,23196629,12,0.34%
household_id_person,23196127,11,0.31%
household_id_person,23158862,11,0.31%
household_id_person,23109270,10,0.29%
household_id_person,23138757,10,0.29%
household_id_person,23104756,10,0.29%
household_id_person,23199877,10,0.29%
household_id_person,23177255,10,0.29%
household_id_person,23092143,10,0.29%
household_id_person,23045901,10,0.29%
household_id_person,23091418,10,0.29%
household_id_person,23043276,10,0.29%
household_id_person,23159120,9,0.26%
household_id_person,23136761,9,0.26%
household_id_person,23192808,9,0.26%
household_id_person,23203380,9,0.26%
household_id_person,23170358,9,0.26%
household_id_person,23017356,9,0.26%
household_id_person,23087048,9,0.26%
household_id_person,23178268,9,0.26%
household_id_person,23181600,9,0.26%
household_id_person,23161766,9,0.26%
household_id_person,23111732,9,0.26%
household_id_person,23082757,9,0.26%
household_id_person,23093406,9,0.26%
household_id_person,23173759,9,0.26%
household_id_person,23012571,8,0.23%
household_id_person,23033218,8,0.23%
household_id_person,23305450,8,0.23%
household_id_person,23017257,8,0.23%
household_id_person,23109187,8,0.23%
household_id_person,23175960,8,0.23%
household_id_person,23101340,8,0.23%
household_id_person,23215215,8,0.23%
household_id_person,23174893,8,0.23%
household_id_person,23098007,8,0.23%
household_id_person,23069888,7,0.2%
household_id_person,23079597,7,0.2%
household_id_person,23068588,7,0.2%
household_id_person,23099817,7,0.2%
household_id_person,23036874,7,0.2%
household_id_person,23382596,7,0.2%
household_id_person,23003118,7,0.2%
household_id_person,23164793,7,0.2%
household_id_person,23165521,7,0.2%
household_id_person,23093905,7,0.2%
household_id_person,23162062,7,0.2%
household_id_person,23213678,7,0.2%
household_id_person,23060941,7,0.2%
household_id_person,23157696,6,0.17%
household_id_person,23155439,6,0.17%
household_id_person,23183549,6,0.17%
household_id_person,23160251,6,0.17%
household_id_person,23156970,6,0.17%
household_id_person,23110180,6,0.17%
household_id_person,23100406,6,0.17%
household_id_person,23139770,6,0.17%
household_id_person,23184486,6,0.17%
household_id_person,23404286,6,0.17%
household_id_person,23169964,6,0.17%
household_id_person,23211951,6,0.17%
household_id_person,23052371,6,0.17%
household_id_person,23198588,6,0.17%
household_id_person,23198677,6,0.17%
household_id_person,23040089,6,0.17%
household_id_person,23196606,6,0.17%
household_id_person,23196692,6,0.17%
household_id_person,23039101,6,0.17%
household_id_person,23205518,6,0.17%
household_id_person,23016190,6,0.17%
household_id_person,23028315,6,0.17%
household_id_person,23218042,6,0.17%
household_id_person,23293899,6,0.17%
household_id_person,23318209,6,0.17%
household_id_person,23366240,6,0.17%
household_id_person,23368988,6,0.17%
household_id_person,23214001,6,0.17%
household_id_person,23030147,6,0.17%
household_id_person,23147365,6,0.17%
household_id_person,23190167,6,0.17%
household_id_person,23190423,6,0.17%
household_id_person,23079162,6,0.17%
household_id_person,23149979,5,0.14%
household_id_person,23098819,5,0.14%
household_id_person,23235969,5,0.14%
household_id_person,23027564,5,0.14%
household_id_person,23189766,5,0.14%
household_id_person,23334671,5,0.14%
household_id_person,23099899,5,0.14%
household_id_person,23398257,5,0.14%
household_id_person,23138542,5,0.14%
household_id_person,23010421,5,0.14%
household_id_person,23150885,5,0.14%
household_id_person,23087615,5,0.14%
household_id_person,23112736,5,0.14%
household_id_person,23114369,5,0.14%
