household_id,trip_id,person_id,mode_class,distance_miles,depart_time_hour,depart_time_minute,depart_time_second,dest_purpose_cat
23000828,2300082801001,2300082801,Transit,3.115555,14,15,0,Personal Business/Errand/Appointment
23000828,2300082801002,2300082801,Transit,3.074545,15,45,0,Home
23000828,2300082802001,2300082802,Transit,2.065438,6,50,0,Work
23000828,2300082802002,2300082802,Transit,2.079729,16,15,0,Home
23001682,2300168201024,2300168201,Walk,0.32187,17,23,0,Shopping
23001682,2300168201025,2300168201,Walk,0.274646,17,39,0,Home
23001682,2300168201002,2300168201,Transit,3.234237,17,50,0,Home
23001682,2300168201003,2300168201,Transit,3.16775,7,51,0,Work
23001682,2300168201004,2300168201,Transit,3.511368,14,11,0,Shopping
23001682,2300168201005,2300168201,Walk,0.303229,14,36,0,Home
23001682,2300168201008,2300168201,Drive,2.387308,8,38,0,Home
23001682,2300168201009,2300168201,Drive,4.485057,13,41,0,Personal Business/Errand/Appointment
23001682,2300168201020,2300168201,Drive,4.847938,9,15,0,Meal
23001682,2300168201021,2300168201,Drive,0.256626,9,37,0,Personal Business/Errand/Appointment
23001682,2300168201026,2300168201,Drive,0.785413,6,58,0,Meal
23001682,2300168201027,2300168201,Drive,0.845065,7,13,0,Home
23001682,2300168201028,2300168201,Walk,0.291423,16,39,0,Shopping
23001682,2300168201029,2300168201,Walk,0.285209,17,0,0,Home
23001682,2300168201030,2300168201,Transit,4.464552,15,1,0,Personal Business/Errand/Appointment
23001682,2300168201031,2300168201,Transit,4.068738,17,0,0,Shopping
23001682,2300168201032,2300168201,Walk,0.255384,17,36,0,Home
23001682,2300168202005,2300168202,Drive,0.936406,12,10,0,Personal Business/Errand/Appointment
23001682,2300168202006,2300168202,Drive,1.985902,12,19,0,Meal
23001682,2300168202007,2300168202,Drive,1.45463,13,2,0,Home
23001682,2300168202012,2300168202,Drive,6.205635,15,9,0,Social/Recreation
23001682,2300168202013,2300168202,Drive,1.827453,16,1,0,Shopping
23001682,2300168202014,2300168202,Drive,0.495233,16,52,0,Shopping
23001682,2300168202015,2300168202,Drive,1.245849,16,58,0,Home
23001690,2300169001001,2300169001,Walk,0.237364,18,30,0,Social/Recreation
23001690,2300169001002,2300169001,Walk,0.237364,19,1,0,Home
23003118,2300311801008,2300311801,Drive,4.485679,18,35,0,Social/Recreation
23003118,2300311801009,2300311801,Drive,2.891862,21,33,0,Shopping
23003118,2300311801010,2300311801,Drive,1.655333,22,1,0,Home
23003118,2300311801011,2300311801,Drive,0.731354,11,39,0,Shopping
23003118,2300311801012,2300311801,Drive,3.768616,11,49,0,Social/Recreation
23003118,2300311801015,2300311801,Walk,0.152857,14,31,0,Meal
23003118,2300311801017,2300311801,Drive,2.857065,17,2,0,Home
23004329,2300432901031,2300432901,Drive,3.132954,8,33,0,Shopping
23004329,2300432901032,2300432901,Drive,0.284588,8,54,0,Shopping
23004329,2300432901033,2300432901,Drive,2.821647,9,12,0,Home
23003815,2300381501001,2300381501,Drive,7.1594,8,30,0,Work
23003815,2300381501002,2300381501,Drive,4.997688,12,30,0,Personal Business/Errand/Appointment
23003815,2300381501003,2300381501,Drive,2.486106,14,2,0,Shopping
23003815,2300381501004,2300381501,Drive,0.3045,14,34,0,Home
23003815,2300381502003,2300381502,Drive,2.584283,16,48,0,Home
23004329,2300432902022,2300432902,Transit,9.635602,8,7,0,Work
23004329,2300432902023,2300432902,Transit,8.451891,19,1,0,Home
23005595,2300559501013,2300559501,Transit,1.704421,18,32,0,Shopping
23005595,2300559501014,2300559501,Transit,1.718091,19,1,0,Home
23005595,2300559501016,2300559501,Drive,2.609759,20,50,0,Home
23005895,2300589501001,2300589501,Drive,0.681023,6,43,0,Shopping
23005895,2300589501002,2300589501,Drive,0.131731,6,55,0,Shopping
23005895,2300589501003,2300589501,Drive,4.718693,7,2,0,Shopping
23005895,2300589501006,2300589501,Walk,3.016757,6,40,0,Work
23005895,2300589501007,2300589501,Walk,0.309443,12,3,0,Meal
23005895,2300589501008,2300589501,Walk,0.291423,12,37,0,Meal
23005895,2300589501009,2300589501,Walk,0.394571,12,41,0,Work
23005895,2300589501010,2300589501,Transit,3.127361,13,2,0,Home
23005895,2300589501013,2300589501,Transit,3.144139,6,34,0,Work
23005895,2300589501014,2300589501,Transit,3.11307,17,56,0,Home
23005895,2300589501015,2300589501,Drive,3.059632,8,22,0,Work
23005895,2300589501018,2300589501,Walk,0.308821,15,59,0,Work
23005895,2300589501022,2300589501,Walk,3.01365,9,0,0,Work
23005895,2300589501023,2300589501,Walk,0.360395,12,34,0,Meal
23005895,2300589501024,2300589501,Walk,0.36723,13,1,0,Work
23005895,2300589501025,2300589501,Transit,3.119905,17,47,0,Home
23005895,2300589501026,2300589501,Walk,3.009922,6,48,0,Work
