ID,GROUP,PURPOSE,TICKET,AGE,MALE,INCOME,CAR_TT,SM_TT,TRAIN_TT,TRAIN_HE,SM_HE,CAR_CO,SM_CO,TRAIN_CO,CHOICE
1,2,1,1,3,0,2,117,63,112,120,20,65,52,48,2
1,2,1,1,3,0,2,117,60,103,30,10,84,49,48,2
1,2,1,1,3,0,2,117,67,130,60,30,52,58,48,2
1,2,1,1,3,0,2,72,63,103,30,20,52,52,40,2
1,2,1,1,3,0,2,90,63,130,60,20,84,42,36,2
1,2,1,1,3,0,2,90,60,112,120,10,52,49,36,2
1,2,1,1,3,0,2,72,67,103,120,10,65,58,48,2
1,2,1,1,3,0,2,90,67,103,30,30,65,43,36,1
1,2,1,1,3,0,2,72,60,130,60,10,65,46,40,2
3,2,1,1,2,1,2,105,29,58,30,10,40,35,32,2
3,2,1,1,2,1,2,136,25,58,30,20,50,38,29,2
3,2,1,1,2,1,2,136,27,58,120,10,65,40,32,2
3,2,1,1,2,1,2,84,25,47,60,30,65,38,29,2
3,2,1,1,2,1,2,136,25,51,30,30,40,36,32,2
3,2,1,1,2,1,2,84,25,51,60,20,40,42,38,2
3,2,1,1,2,1,2,84,27,51,30,10,50,32,29,2
3,2,1,1,2,1,2,105,27,51,60,30,50,40,32,2
3,2,1,1,2,1,2,84,27,58,30,30,65,42,38,2
4,2,1,1,2,1,3,135,65,138,30,10,80,45,40,2
4,2,1,1,2,1,3,175,61,138,120,10,130,52,40,2
4,2,1,1,2,1,3,175,58,138,30,20,100,49,36,2
4,2,1,1,2,1,3,108,58,105,60,30,130,49,36,2
4,2,1,1,2,1,3,175,58,116,30,30,80,46,40,2
4,2,1,1,2,1,3,108,61,116,30,10,100,42,36,2
4,2,1,1,2,1,3,108,58,116,60,20,80,50,48,2
4,2,1,1,2,1,3,108,61,138,30,30,130,52,48,2
4,2,1,1,2,1,3,135,61,116,60,30,100,52,40,2
6,2,1,1,3,0,3,70,46,116,120,30,35,38,35,2
6,2,1,1,3,0,3,91,49,95,120,30,28,29,26,2
6,2,1,1,3,0,3,56,53,116,120,20,28,32,26,2
6,2,1,1,3,0,3,91,53,102,60,10,45,32,26,2
6,2,1,1,3,0,3,56,53,102,120,30,45,32,29,2
6,2,1,1,3,0,3,91,53,95,60,20,35,32,29,2
6,2,1,1,3,0,3,70,49,95,60,10,28,40,35,2
6,2,1,1,3,0,3,70,46,95,120,20,45,35,29,2
6,2,1,1,3,0,3,70,53,102,30,20,45,46,35,2
7,2,1,1,3,1,1,117,32,87,120,20,140,49,42,2
7,2,1,1,3,1,1,117,29,80,30,10,182,46,42,2
7,2,1,1,3,1,1,117,36,101,60,30,112,56,42,2
7,2,1,1,3,1,1,72,32,80,30,20,112,49,35,2
7,2,1,1,3,1,1,90,32,101,60,20,182,38,31,2
7,2,1,1,3,1,1,90,29,87,120,10,112,46,31,2
7,2,1,1,3,1,1,72,36,80,120,10,140,56,42,1
7,2,1,1,3,1,1,90,36,80,30,30,140,40,31,2
7,2,1,1,3,1,1,72,29,101,60,10,140,43,35,2
8,2,1,1,4,1,3,130,56,109,120,20,30,34,26,2
8,2,1,1,4,1,3,130,53,100,30,10,39,32,26,2
8,2,1,1,4,1,3,130,60,126,60,30,24,40,26,2
8,2,1,1,4,1,3,80,56,100,30,20,24,35,22,3
8,2,1,1,4,1,3,100,56,126,60,20,39,24,20,2
8,2,1,1,4,1,3,100,53,109,120,10,24,32,20,3
8,2,1,1,4,1,3,80,60,100,120,10,30,40,26,3
8,2,1,1,4,1,3,100,60,100,30,30,30,26,20,2
8,2,1,1,4,1,3,80,53,126,60,10,30,28,22,2
9,2,1,1,2,1,2,60,53,116,30,10,32,28,24,2
9,2,1,1,2,1,2,78,46,116,30,20,40,32,22,2
9,2,1,1,2,1,2,78,49,116,120,10,52,36,24,2
9,2,1,1,2,1,2,48,46,95,60,30,52,32,22,2
9,2,1,1,2,1,2,78,46,102,30,30,32,29,24,2
9,2,1,1,2,1,2,48,46,102,60,20,32,32,29,2
9,2,1,1,2,1,2,48,49,102,30,10,40,25,22,2
9,2,1,1,2,1,2,60,49,102,60,30,40,36,24,2
9,2,1,1,2,1,2,48,49,116,30,30,52,35,29,2
14,2,1,1,3,1,2,91,77,130,120,20,100,38,31,2
14,2,1,1,3,1,2,91,74,118,30,10,130,36,31,2
14,2,1,1,3,1,2,91,81,153,60,30,80,43,31,2
14,2,1,1,3,1,2,56,77,118,30,20,80,38,26,1
14,2,1,1,3,1,2,70,77,153,60,20,130,28,23,2
14,2,1,1,3,1,2,70,74,130,120,10,80,35,23,2
14,2,1,1,3,1,2,56,81,118,120,10,100,43,31,2
14,2,1,1,3,1,2,70,81,118,30,30,100,29,23,1
14,2,1,1,3,1,2,56,74,153,60,10,100,32,26,2
16,2,1,1,3,1,2,190,79,208,30,10,80,66,62,2
16,2,1,1,3,1,2,247,71,208,120,10,130,80,62,2
16,2,1,1,3,1,2,247,65,208,30,20,100,74,56,2
16,2,1,1,3,1,2,152,65,165,60,30,130,74,56,2
16,2,1,1,3,1,2,247,65,179,30,30,80,70,62,2
16,2,1,1,3,1,2,152,71,179,30,10,100,62,56,2
16,2,1,1,3,1,2,152,65,179,60,20,80,78,74,2
16,2,1,1,3,1,2,152,71,208,30,30,130,80,74,2
16,2,1,1,3,1,2,190,71,179,60,30,100,80,62,2
17,2,1,2,1,1,2,90,61,132,30,10,20,26,23,2
17,2,1,2,1,1,2,117,57,132,120,10,32,31,23,2
17,2,1,2,1,1,2,117,54,132,30,20,25,28,21,2
17,2,1,2,1,1,2,72,54,102,60,30,32,28,21,2
