GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,48,120,63,52,20,0,117,65,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,30,60,49,10,0,117,84,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,48,60,67,58,30,0,117,52,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,40,30,63,52,20,0,72,52,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,36,60,63,42,20,0,90,84,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,36,120,60,49,10,0,90,52,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,120,67,58,10,0,72,65,2
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,36,30,67,43,30,0,90,65,1
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,40,60,60,46,10,0,72,65,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,30,29,35,10,0,105,40,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,29,30,25,38,20,0,136,50,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,120,27,40,10,1,136,65,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,47,29,60,25,38,30,1,84,65,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,30,25,36,30,1,136,40,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,38,60,25,42,20,0,84,40,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,29,30,27,32,10,1,84,50,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,60,27,40,30,0,105,50,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,38,30,27,42,30,0,84,65,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,30,65,45,10,0,135,80,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,120,61,52,10,1,175,130,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,36,30,58,49,20,0,175,100,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,105,36,60,58,49,30,1,108,130,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,30,58,46,30,1,175,80,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,36,30,61,42,10,1,108,100,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,48,60,58,50,20,0,108,80,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,48,30,61,52,30,0,108,130,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,60,61,52,30,0,135,100,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,35,120,46,38,30,1,70,35,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,26,120,49,29,30,0,91,28,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,26,120,53,32,20,1,56,28,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,26,60,53,32,10,0,91,45,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,29,120,53,32,30,0,56,45,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,60,53,32,20,1,91,35,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,35,60,49,40,10,1,70,28,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,120,46,35,20,0,70,45,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,35,30,53,46,20,1,70,45,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,42,120,32,49,20,0,117,140,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,30,29,46,10,0,117,182,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,42,60,36,56,30,0,117,112,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,35,30,32,49,20,0,72,112,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,31,60,32,38,20,0,90,182,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,31,120,29,46,10,0,90,112,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,120,36,56,10,0,72,140,1
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,31,30,36,40,30,0,90,140,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,35,60,29,43,10,0,72,140,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,26,120,56,34,20,0,130,30,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,30,53,32,10,0,130,39,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,26,60,60,40,30,0,130,24,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,22,30,56,35,20,0,80,24,3
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,20,60,56,24,20,0,100,39,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,20,120,53,32,10,0,100,24,3
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,120,60,40,10,0,80,30,3
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,20,30,60,26,30,0,100,30,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,22,60,53,28,10,0,80,30,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,30,53,28,10,0,60,32,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,22,30,46,32,20,0,78,40,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,120,49,36,10,1,78,52,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,95,22,60,46,32,30,1,48,52,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,30,46,29,30,1,78,32,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,29,60,46,32,20,0,48,32,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,22,30,49,25,10,1,48,40,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,60,49,36,30,0,60,40,2
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,29,30,49,35,30,0,48,52,2
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,31,120,77,38,20,0,91,100,2
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,31,30,74,36,10,0,91,130,2
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,31,60,81,43,30,0,91,80,2
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,26,30,77,38,20,0,56,80,1
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,23,60,77,28,20,0,70,130,2
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,23,120,74,35,10,0,70,80,2
