id,prediction,CHOICE
0,0.0,0
1,1.0,1
2,1.0,1
3,2.0,2
4,2.0,0
5,1.0,2
6,2.0,1
7,2.0,1
8,2.0,1
9,0.0,0
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,2.0,0
15,2.0,1
16,2.0,1
17,1.0,1
18,2.0,1
19,2.0,1
20,1.0,0
21,2.0,0
22,1.0,1
23,2.0,1
24,1.0,1
25,1.0,0
26,2.0,2
27,2.0,2
28,1.0,1
29,1.0,1
30,2.0,0
31,1.0,1
32,1.0,1
33,1.0,1
34,2.0,1
35,1.0,1
36,1.0,0
37,2.0,1
38,1.0,1
39,1.0,1
40,2.0,1
41,1.0,0
42,2.0,1
43,1.0,0
44,2.0,1
45,2.0,2
46,1.0,1
47,2.0,0
48,2.0,1
49,0.0,0
50,1.0,0
51,1.0,1
52,2.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,2.0,1
57,1.0,1
58,2.0,1
59,2.0,1
60,2.0,2
61,1.0,1
62,1.0,1
63,2.0,1
64,1.0,0
65,0.0,0
66,2.0,2
67,1.0,0
68,1.0,1
69,1.0,1
70,2.0,1
71,1.0,1
72,1.0,0
73,2.0,2
74,1.0,2
75,2.0,1
76,2.0,1
77,2.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,2.0,0
82,1.0,1
83,2.0,0
84,1.0,0
85,1.0,1
86,2.0,1
87,2.0,1
88,2.0,0
89,2.0,1
90,2.0,2
91,0.0,0
92,2.0,1
93,2.0,1
94,1.0,2
95,1.0,0
96,1.0,1
97,0.0,0
98,2.0,0
99,1.0,0
100,2.0,1
101,2.0,0
102,2.0,0
103,1.0,0
104,1.0,0
105,2.0,1
106,1.0,1
107,2.0,1
108,2.0,2
109,1.0,1
110,2.0,1
111,2.0,0
112,2.0,1
113,1.0,0
114,2.0,1
115,0.0,0
116,1.0,1
117,1.0,1
118,2.0,0
119,2.0,1
120,2.0,1
121,1.0,1
122,2.0,1
123,1.0,1
124,1.0,1
125,2.0,1
126,2.0,1
127,1.0,0
128,2.0,1
129,1.0,1
130,2.0,1
131,1.0,1
132,2.0,1
133,2.0,1
134,1.0,0
135,2.0,1
136,2.0,1
137,1.0,1
138,1.0,0
139,1.0,1
140,2.0,1
141,2.0,0
142,1.0,1
143,2.0,0
144,1.0,0
145,2.0,0
146,2.0,1
147,1.0,1
148,1.0,1
149,1.0,0
150,1.0,1
151,0.0,1
152,2.0,2
153,1.0,1
154,2.0,1
155,2.0,1
156,1.0,0
157,2.0,0
158,1.0,0
159,1.0,1
160,2.0,1
161,2.0,0
162,1.0,1
163,2.0,1
164,1.0,1
165,1.0,1
166,1.0,0
167,1.0,1
168,2.0,1
169,1.0,1
170,2.0,1
171,1.0,1
172,1.0,1
173,1.0,1
174,1.0,1
175,2.0,1
176,2.0,1
177,1.0,1
178,2.0,2
179,2.0,1
180,1.0,1
181,1.0,1
182,2.0,0
183,1.0,1
184,1.0,1
185,2.0,0
186,1.0,1
187,1.0,1
188,1.0,1
189,2.0,1
190,2.0,1
191,2.0,1
192,2.0,0
193,1.0,0
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,1.0,1
199,1.0,0
200,1.0,1
201,1.0,0
202,2.0,1
203,1.0,1
204,1.0,1
205,2.0,1
206,0.0,1
207,1.0,1
208,1.0,0
209,1.0,1
210,1.0,1
211,1.0,1
212,1.0,0
213,1.0,1
214,2.0,0
215,2.0,0
216,1.0,2
217,2.0,1
218,1.0,1
219,1.0,1
220,1.0,1
221,2.0,1
222,2.0,0
223,2.0,1
224,1.0,1
225,1.0,1
226,2.0,1
227,1.0,1
228,2.0,1
229,1.0,1
230,2.0,2
231,1.0,1
232,1.0,1
233,1.0,1
234,1.0,0
235,1.0,0
236,2.0,1
237,2.0,0
238,1.0,1
239,1.0,0
240,1.0,1
241,2.0,1
242,1.0,0
243,1.0,0
244,1.0,0
245,1.0,1
246,1.0,1
247,2.0,0
248,2.0,0
249,1.0,1
250,1.0,1
251,2.0,1
252,1.0,0
253,2.0,1
254,1.0,1
255,2.0,0
256,1.0,1
257,2.0,1
258,2.0,1
259,2.0,1
260,1.0,0
261,2.0,1
262,1.0,1
263,2.0,1
264,1.0,0
265,1.0,1
266,2.0,1
267,2.0,1
268,2.0,2
269,1.0,0
270,1.0,1
271,2.0,1
272,1.0,0
273,2.0,1
274,2.0,1
275,1.0,1
276,2.0,1
277,1.0,1
278,1.0,2
279,1.0,1
280,2.0,1
281,1.0,1
282,1.0,0
283,2.0,1
284,1.0,1
285,1.0,1
286,1.0,2
287,2.0,1
288,2.0,1
289,1.0,1
290,1.0,1
291,1.0,0
292,2.0,1
293,0.0,0
294,2.0,0
295,1.0,1
296,1.0,1
297,2.0,0
298,1.0,1
299,1.0,1
300,1.0,0
301,1.0,1
302,2.0,1
303,2.0,1
304,1.0,1
305,1.0,0
306,1.0,1
307,1.0,1
308,1.0,1
309,1.0,1
310,2.0,1
311,2.0,1
312,1.0,0
313,2.0,0
314,2.0,1
315,1.0,2
316,1.0,1
317,1.0,0
318,1.0,1
319,2.0,1
320,2.0,0
321,1.0,1
322,1.0,1
323,2.0,1
324,1.0,1
325,2.0,1
326,2.0,1
327,1.0,0
328,1.0,1
329,2.0,1
330,1.0,1
331,2.0,1
332,1.0,2
333,2.0,0
334,1.0,1
335,2.0,1
336,,0
337,1.0,1
338,2.0,1
339,1.0,0
340,1.0,0
341,0.0,0
342,2.0,0
343,2.0,1
344,1.0,0
345,,0
346,1.0,1
347,2.0,0
348,2.0,1
349,2.0,1
350,2.0,0
351,,0
352,1.0,0
353,1.0,1
354,,1
355,1.0,1
356,1.0,2
357,,1
358,1.0,1
359,,1
360,,0
361,,1
362,2.0,1
363,,1
364,1.0,0
365,,1
366,,1
367,,1
368,,1
369,,0
370,,1
371,,1
372,,1
373,,1
374,,0
375,,1
376,,0
377,,0
378,,0
379,,0
380,,1
381,,0
382,,1
383,,1
384,,1
385,,1
386,,2
387,,0
388,,0
389,,0
390,,0
391,,1
392,,2
393,,0
394,,2
395,,2
396,,1
397,,1
398,,0
399,,1
400,,1
401,,1
402,,0
403,,1
404,,1
405,,1
406,,1
407,,1
408,,1
409,,1
410,,1
411,,1
412,,1
413,,1
414,,1
415,,1
416,,1
417,,0
418,,1
419,,1
420,,0
421,,0
422,,1
423,,0
424,,0
425,,1
426,,1
427,,0
428,,1
429,,2
430,,1
431,,1
432,,1
433,,1
434,,0
435,,0
436,,1
437,,1
438,,1
439,,1
440,,1
441,,1
442,,1
443,,1
444,,0
445,,0
446,,1
447,,1
448,,2
449,,1
450,,1
451,,1
452,,1
453,,1
454,,1
455,,1
456,,1
